root@lamp-s-1vcpu-1gb-tor1-01:~# ping 72.52.10.14 -w 20
PING 72.52.10.14 (72.52.10.14) 56(84) bytes of data.
64 bytes from 72.52.10.14: icmp_seq=1 ttl=244 time=18.3 ms
64 bytes from 72.52.10.14: icmp_seq=2 ttl=244 time=17.6 ms
64 bytes from 72.52.10.14: icmp_seq=3 ttl=244 time=17.8 ms
64 bytes from 72.52.10.14: icmp_seq=4 ttl=244 time=17.6 ms
64 bytes from 72.52.10.14: icmp_seq=5 ttl=244 time=17.6 ms
64 bytes from 72.52.10.14: icmp_seq=6 ttl=244 time=17.4 ms
64 bytes from 72.52.10.14: icmp_seq=7 ttl=244 time=17.6 ms
64 bytes from 72.52.10.14: icmp_seq=8 ttl=244 time=17.6 ms
64 bytes from 72.52.10.14: icmp_seq=9 ttl=244 time=17.8 ms
64 bytes from 72.52.10.14: icmp_seq=10 ttl=244 time=17.6 ms
64 bytes from 72.52.10.14: icmp_seq=11 ttl=244 time=17.7 ms
64 bytes from 72.52.10.14: icmp_seq=12 ttl=244 time=17.5 ms
64 bytes from 72.52.10.14: icmp_seq=13 ttl=244 time=17.5 ms
64 bytes from 72.52.10.14: icmp_seq=14 ttl=244 time=17.6 ms
64 bytes from 72.52.10.14: icmp_seq=15 ttl=244 time=17.7 ms
64 bytes from 72.52.10.14: icmp_seq=16 ttl=244 time=18.2 ms
64 bytes from 72.52.10.14: icmp_seq=17 ttl=244 time=17.7 ms
64 bytes from 72.52.10.14: icmp_seq=18 ttl=244 time=17.5 ms
64 bytes from 72.52.10.14: icmp_seq=19 ttl=244 time=17.6 ms
64 bytes from 72.52.10.14: icmp_seq=20 ttl=244 time=17.6 ms
